Code,Company			,Sector,Market Cap,Weight(%)
AGL,AGL Energy Limited,Utilities,"12,336,100,000",0.69
APA,APA Group Units FP Stapled Securities,Utilities,"10,383,100,000",0.58
AST,Ausnet Services Limited,Utilities,"5,584,170,000",0.31
CEN,Contact Energy Limited Foreign Exempt NZX,Utilities,"1,016,180,000",0.06
EPW,Erm Power Limited,Utilities,"431,752,000",0.02
EWC,Energy World Corpor,Utilities,"260,367,000",0.01
IFN,Infigen Energy Stapled Securities FP,Utilities,"444,801,000",0.02
NEW,NEW Energy Solar Stapled Securities,Utilities,"489,723,000",0.03
PEA,Pacific Energy,Utilities,"259,498,000",0.01
SKI,Spark Infrastructure Stapled $0.65 Loan Note and Unit US Prohib,Utilities,"3,952,730,000",0.22
AYS,Amaysim Aus Limited,Telecommunication Services,"233,980,000",0.01
CNU,Chorus Limited Foreign Exempt NZX,Telecommunication Services,"1,949,260,000",0.11
HTA,Hutchison,Telecommunication Services,"1,628,700,000",0.09
MAQ,Macquarie Telecom GP,Telecommunication Services,"451,225,000",0.03
MNF,MNF Group Limited,Telecommunication Services,"292,776,000",0.02
SDA,Speedcast Int Limited,Telecommunication Services,"785,319,000",0.04
SLC,Superloop Limited,Telecommunication Services,"382,899,000",0.02
SPK,Spark New Zealand Foreign Exempt NZX,Telecommunication Services,"7,271,320,000",0.41
TLS,Telstra Corporation,Telecommunication Services,"34,847,400,000",1.95
TPM,TPG Telecom Limited,Telecommunication Services,"6,670,960,000",0.37
VOC,Vocus Group Limited,Telecommunication Services,"2,084,580,000",0.12
ABP,Abacus Property Group Units/ Stapled Securities,Real Estate,"1,837,950,000",0.1
ARF,Arena REIT Stapled Securities FP,Real Estate,"651,174,000",0.04
AOF,Australian Unity Off Ordinary Units FP,Real Estate,"454,301,000",0.03
AVN,Aventus Group Stapled Securities,Real Estate,"1,099,260,000",0.06
AOG,Aveo Group Ordinary/Units FP Stapled Securities,Real Estate,"987,424,000",0.06
AVJ,Avjennings Limited,Real Estate,"231,552,000",0.01
BWP,BWP Trust Ordinary Units FP,Real Estate,"2,241,920,000",0.13
CDP,Carindale Property Units FP,Real Estate,"542,500,000",0.03
